Date,Open,High,Low,Close,Adj Close,Volume
2020-04-08,2.039205,2.210544,1.952132,2.134705,2.128868,43640378
2020-04-09,2.369242,2.369242,2.275147,2.369242,2.362764,10396737
2020-04-10,2.436654,2.605183,2.429632,2.574286,2.567247,104018868
2020-04-13,2.523727,2.780735,2.485808,2.721749,2.714307,53821573
2020-04-14,2.773713,2.822867,2.550411,2.638889,2.631673,51666159
2020-04-15,2.638889,2.647316,2.376264,2.438058,2.431391,42706863
2020-04-16,2.457720,2.567264,2.349580,2.480191,2.473409,37908256
2020-04-17,2.543389,2.725963,2.471764,2.725963,2.718509,37434314
2020-04-20,2.850955,2.997014,2.836911,2.997014,2.988819,65609249
2020-04-21,3.030720,3.294749,3.019485,3.294749,3.285740,38876854
2020-04-22,3.468896,3.623382,3.426764,3.623382,3.613474,38637180
2020-04-24,3.822808,3.985720,3.631808,3.985720,3.974821,47371983
2020-04-27,4.143014,4.381764,4.143014,4.381764,4.369782,18417590
2020-04-28,4.718823,4.819941,4.482882,4.819941,4.806761,33772610
2020-04-29,4.811514,5.294632,4.572764,4.699161,4.686312,47997612
2020-04-30,3.918308,3.918308,3.918308,3.918308,3.907594,3826726
2020-05-04,3.527882,3.527882,3.527882,3.527882,3.518235,1005894
2020-05-05,3.648661,3.878985,3.648661,3.878985,3.868378,4503415
2020-05-06,4.207617,4.266602,4.002573,4.266602,4.254936,7647942
2020-05-07,4.687926,4.690735,4.457602,4.690735,4.677909,7500984
2020-05-08,4.999705,5.098014,4.230088,4.786235,4.773148,11831993
2020-05-11,4.741294,4.971617,4.539058,4.817132,4.803960,4643930
2020-05-12,4.909823,4.929485,4.642985,4.645794,4.633090,3651343
2020-05-13,4.578382,4.791852,4.350867,4.634558,4.621885,5446116
2020-05-14,4.614896,5.103632,4.423896,5.098014,5.084074,5068300
2020-05-15,5.266544,5.454735,5.002514,5.089588,5.075671,26583365
2020-05-18,5.083970,5.159808,4.848029,4.873308,4.859982,12725164
2020-05-20,4.904205,5.069926,4.659838,4.693544,4.680710,11509153
2020-05-21,4.634558,4.704779,4.283455,4.317161,4.305357,13958890
2020-05-22,4.134588,4.648602,4.053132,4.499735,4.487431,22673984
2020-05-27,4.606470,4.676691,4.392999,4.401426,4.389391,8769194
2020-05-28,4.401426,4.494117,4.182338,4.331205,4.319362,13768825
2020-05-29,4.311544,4.376146,4.114926,4.165485,4.154095,8671253
2020-06-01,4.171102,4.185146,3.912691,3.935161,3.924401,12877882
2020-06-02,3.932352,3.974485,3.735735,3.735735,3.725520,9564047
2020-06-03,3.730117,4.109308,3.558779,4.109308,4.098071,19126734
2020-06-04,4.269411,4.451985,4.168294,4.224470,4.212919,28626654
2020-06-05,4.185146,4.331205,3.980102,4.084029,4.072862,19644716
2020-06-08,4.084029,4.171102,3.960441,4.010999,4.000031,8102609
2020-06-09,4.047514,4.255367,3.915499,4.047514,4.036447,19007061
2020-06-10,4.143014,4.207617,4.061558,4.126161,4.114878,7181896
2020-06-11,4.544676,4.544676,4.356485,4.544676,4.532248,35759434
2020-06-12,4.536249,4.898588,4.423896,4.480073,4.467823,32425391
2020-06-15,4.744102,4.744102,4.373338,4.409852,4.397794,14291798
2020-06-16,4.409852,4.648602,4.317161,4.502544,4.490232,22238677
2020-06-17,4.496926,4.564338,4.370529,4.429514,4.417402,11872408
2020-06-18,4.429514,4.429514,4.353676,4.373338,4.361380,4918792
2020-06-19,4.367720,4.429514,4.289073,4.303117,4.291350,5020500
2020-06-22,4.277838,4.418279,4.216044,4.244132,4.232527,6621911
2020-06-23,4.218852,4.311544,4.187955,4.201999,4.190509,8227914
2020-06-24,4.235705,4.235705,4.117735,4.148632,4.137288,4123491
2020-06-25,4.100882,4.126161,4.044705,4.084029,4.072862,4907307
2020-06-26,4.283455,4.435132,4.157058,4.193573,4.182106,19691910
2020-06-29,4.165485,4.165485,4.072794,4.100882,4.089669,5784336
2020-06-30,4.100882,4.325588,4.086838,4.252558,4.240930,14022711
2020-07-01,4.246941,4.530632,4.190764,4.334014,4.322163,15673074
2020-07-02,4.460411,4.494117,4.308735,4.421088,4.408999,19038562
2020-07-03,4.437941,4.789044,4.401426,4.665455,4.652698,26562901
2020-07-06,4.690735,4.819941,4.553102,4.589617,4.577067,11417926
2020-07-07,4.760955,4.789044,4.466029,4.620514,4.607880,10270093
2020-07-08,4.592426,4.673882,4.477264,4.525014,4.512641,7483923
2020-07-09,4.527823,4.561529,4.311544,4.339632,4.327765,4519920
2020-07-10,4.308735,4.308735,4.114926,4.227279,4.215720,4916421
2020-07-13,4.255367,4.367720,4.246941,4.350867,4.338970,5708817
2020-07-14,4.328396,4.353676,4.249749,4.266602,4.254936,3745774
2020-07-16,4.322779,4.401426,4.266602,4.322779,4.310959,5075028
2020-07-17,4.378955,4.415470,4.294691,4.345249,4.333367,7546355
2020-07-20,4.325588,4.390191,4.303117,4.336823,4.324965,5558654
2020-07-21,4.387382,4.612088,4.350867,4.463220,4.451016,28638446
2020-07-22,4.502544,4.716014,4.466029,4.690735,4.677909,30995846
2020-07-23,4.738485,4.744102,4.550294,4.592426,4.579868,12155203
2020-07-24,4.530632,4.530632,4.423896,4.460411,4.448215,5147158
2020-07-27,4.494117,4.513779,4.437941,4.474455,4.462220,4403986
2020-07-28,4.488499,4.488499,4.095264,4.095264,4.084066,7469896
2020-07-29,4.157058,4.210426,3.949205,4.131779,4.120481,6729529
2020-07-30,4.137396,4.463220,4.064367,4.069985,4.058856,8476161
2020-08-04,4.123352,4.145823,3.758205,3.918308,3.907594,9483700
2020-08-05,3.982911,4.069985,3.791911,3.977294,3.966419,6664612
2020-08-06,3.935161,4.002573,3.777867,3.904264,3.893588,6104990
2020-08-07,3.915499,3.999764,3.595294,3.937970,3.927202,6626404
2020-08-10,3.890220,4.072794,3.707646,3.932352,3.921599,7468707
2020-08-11,4.089646,4.140205,3.935161,3.991338,3.980424,8730274
2020-08-12,3.999764,4.114926,3.864941,3.991338,3.980424,8689431
2020-08-13,4.013808,4.294691,3.966058,4.005382,3.994430,23276692
2020-08-14,4.010999,4.114926,3.932352,4.092455,4.081264,7661307
2020-08-17,4.109308,4.252558,3.991338,4.069985,4.058856,14449039
2020-08-18,4.081220,4.176720,3.999764,4.010999,4.000031,8075544
2020-08-19,4.022235,4.081220,3.966058,4.002573,3.991628,7174477
2020-08-20,3.991338,4.055941,3.935161,4.002573,3.991628,5837034
2020-08-21,4.008191,4.027852,3.923926,3.940779,3.930003,4570020
2020-08-24,3.946396,3.971676,3.918308,3.926735,3.915998,2849940
2020-08-25,3.918308,3.980102,3.836852,3.878985,3.868378,4252826
2020-08-26,3.856514,3.904264,3.699220,3.761014,3.750730,8454814
2020-08-27,3.772249,4.013808,3.724499,3.783485,3.773139,15391483
2020-08-28,3.800338,3.834044,3.749779,3.763823,3.753531,4512743
2020-08-31,3.763823,3.777867,3.699220,3.710455,3.700309,3776200
2020-09-01,3.704838,3.859323,3.682367,3.775058,3.774010,9162904
2020-09-02,3.777867,3.834044,3.749779,3.766632,3.765586,5470610
2020-09-03,3.780676,4.069985,3.769441,3.834044,3.832979,18225061
2020-09-04,3.845279,3.907073,3.808764,3.811573,3.810515,5987019
2020-09-07,3.834044,4.190764,3.834044,4.190764,4.189600,19073779
2020-09-08,4.246941,4.575573,4.100882,4.317161,4.315962,42564376
2020-09-09,4.286264,4.378955,4.072794,4.072794,4.071663,21272330
2020-09-10,4.086838,4.137396,3.980102,4.053132,4.052007,11076737
2020-09-11,4.100882,4.148632,4.010999,4.044705,4.043582,9089805
2020-09-14,4.069985,4.140205,4.030661,4.069985,4.068855,6784513
2020-09-15,4.058749,4.145823,4.019426,4.058749,4.057622,6645957
2020-09-16,4.072794,4.255367,4.072794,4.187955,4.186792,15173641
2020-09-17,4.201999,4.342441,4.123352,4.173911,4.172752,12434152
2020-09-18,4.227279,4.592426,4.201999,4.412661,4.411436,59991587
2020-09-21,4.423896,4.738485,4.392999,4.657029,4.655736,30943397
2020-09-22,4.774999,4.923867,4.339632,4.364911,4.363699,43718240
2020-09-23,4.392999,4.395808,4.204808,4.255367,4.254185,15321682
2020-09-24,4.213235,4.272220,4.162676,4.241323,4.240145,9572912
2020-09-25,4.280646,4.350867,4.246941,4.266602,4.265418,8599443
2020-09-28,4.275029,4.297499,4.176720,4.213235,4.212065,7637980
2020-09-29,4.213235,4.367720,4.199191,4.300308,4.299114,14206019
2020-09-30,4.353676,4.418279,4.308735,4.314352,4.313154,9424764
2020-10-01,4.359294,4.690735,4.345249,4.544676,4.543414,29471720
2020-10-02,4.572764,4.676691,4.421088,4.485691,4.484446,12948602
2020-10-05,4.527823,4.828367,4.513779,4.763764,4.762441,18001957
2020-10-06,4.789044,4.814323,4.617705,4.645794,4.644504,12698889
2020-10-07,4.626132,4.794661,4.572764,4.693544,4.692241,11139546
2020-10-08,4.716014,5.114867,4.716014,5.075544,5.074135,32506378
2020-10-09,5.112058,5.213176,4.949146,4.999705,4.998317,17509793
2020-10-12,5.055882,5.491249,4.965999,5.272161,5.270697,38911267
2020-10-13,5.325529,5.640117,5.210367,5.603602,5.602046,29640595
2020-10-14,5.713146,5.791793,5.308676,5.390132,5.388636,22771655
2020-10-15,5.392941,5.662588,5.266544,5.628882,5.627319,19260576
2020-10-16,5.640117,5.912573,5.564279,5.800220,5.798610,19498135
2020-10-19,5.808646,5.836735,5.654161,5.665396,5.663823,10029516
2020-10-20,5.665396,5.797411,5.519338,5.547426,5.545886,10192829
2020-10-21,5.555852,5.682249,5.421029,5.426646,5.425139,7577813
2020-10-22,5.429455,5.600793,5.350808,5.505294,5.503766,10295499
2020-10-23,5.513720,5.589558,5.230029,5.294632,5.293162,10467015
2020-10-26,5.297441,5.300249,4.766573,4.766573,4.765250,12162174
2020-10-27,4.763764,5.055882,4.530632,5.013749,5.012357,15811630
2020-10-28,4.960382,5.033411,4.749720,4.774999,4.773674,3429229
2020-10-30,4.676691,5.055882,4.606470,4.943529,4.942157,13770178
2020-11-02,4.907014,4.932294,4.774999,4.777808,4.776482,14633764
2020-11-03,4.800279,4.864882,4.606470,4.648602,4.647311,7997690
2020-11-04,4.696352,4.862073,4.659838,4.859264,4.857915,11007541
