Date,Open,High,Low,Close,Adj Close,Volume
2000-07-06,0.902777,0.930555,0.902777,0.902777,0.770926,738720
2000-07-07,0.902777,0.916666,0.888888,0.902777,0.770926,130176
2000-07-10,0.930555,0.930555,0.902777,0.930555,0.794647,388512
2000-07-11,0.958333,1.013888,0.944444,0.958333,0.818368,1694520
2000-07-12,0.902777,0.916666,0.861111,0.902777,0.770926,903528
2000-07-13,0.916666,0.930555,0.888888,0.916666,0.782786,472752
2000-07-14,0.888888,0.902777,0.875000,0.888888,0.759065,148903
2000-07-17,0.902777,0.902777,0.875000,0.902777,0.770926,323784
2000-07-18,0.875000,0.902777,0.875000,0.875000,0.747206,311904
2000-07-19,0.875000,0.902777,0.875000,0.875000,0.747206,311904
2000-07-20,0.847222,0.875000,0.847222,0.847222,0.723485,247824
2000-07-21,0.861111,0.861111,0.833333,0.861111,0.735345,289368
2000-07-24,0.861111,0.875000,0.847222,0.861111,0.735345,738504
2000-07-25,0.847222,0.861111,0.847222,0.847222,0.723485,23760
2000-07-26,0.847222,0.875000,0.847222,0.847222,0.723485,66816
2000-07-27,0.847222,0.861111,0.833333,0.847222,0.723485,117288
2000-07-28,0.847222,0.847222,0.833333,0.847222,0.723485,20736
2000-07-31,0.847222,0.847222,0.833333,0.847222,0.723485,8280
2000-08-01,0.847222,0.847222,0.847222,0.847222,0.723485,0
2000-08-02,0.833333,0.833333,0.819444,0.833333,0.711624,73728
2000-08-03,0.819444,0.819444,0.805555,0.819444,0.699764,120528
2000-08-04,0.805555,0.819444,0.791666,0.805555,0.687903,53208
2000-08-07,0.833333,0.861111,0.791666,0.833333,0.711624,928872
2000-08-08,0.805555,0.819444,0.805555,0.805555,0.687903,61056
2000-08-09,0.777777,0.777777,0.763888,0.777777,0.664182,44568
2000-08-10,0.736111,0.763888,0.736111,0.736111,0.628601,28296
2000-08-11,0.736111,0.736111,0.736111,0.736111,0.628601,0
2000-08-14,0.750000,0.763888,0.736111,0.750000,0.640462,163152
2000-08-15,0.750000,0.750000,0.750000,0.750000,0.640462,0
2000-08-16,0.722222,0.736111,0.722222,0.722222,0.616741,41904
2000-08-17,0.708333,0.736111,0.708333,0.708333,0.604881,44064
2000-08-18,0.736111,0.750000,0.736111,0.736111,0.628601,647568
2000-08-21,0.694444,0.722222,0.694444,0.694444,0.593020,155664
2000-08-22,0.638888,0.666666,0.631944,0.638888,0.545578,170640
2000-08-23,0.638888,0.638888,0.638888,0.638888,0.545578,0
2000-08-24,0.673611,0.680555,0.673611,0.673611,0.575230,53424
2000-08-25,0.743055,0.763888,0.736111,0.743055,0.634531,1183824
2000-08-28,0.722222,0.736111,0.708333,0.722222,0.616741,121104
2000-08-29,0.722222,0.722222,0.722222,0.722222,0.616741,0
2000-08-30,0.722222,0.722222,0.722222,0.722222,0.616741,0
2000-08-31,0.694444,0.722222,0.680555,0.694444,0.593020,181944
2000-09-01,0.680555,0.687500,0.673611,0.680555,0.581159,75312
2000-09-04,0.673611,0.687500,0.673611,0.673611,0.575230,131119
2000-09-05,0.673611,0.673611,0.673611,0.673611,0.575230,0
